home;away;date;gh;ga;full_time;home_ident;away_ident;winner;year;month
River Plate;CA Cerro;11/05/1968;1;3;F;River Plate (Uruguay);CA Cerro (Uruguay);V;1968;5
Danubio;CA Cerro;18/05/1968;0;0;F;Danubio (Uruguay);CA Cerro (Uruguay);E;1968;5
Liverpool;Institucion Atletica Sud America;18/05/1968;1;2;F;Liverpool (Uruguay);Institucion Atletica Sud America (Uruguay);V;1968;5
Nacional;Defensor Sporting;18/05/1968;2;0;F;Nacional (Uruguay);Defensor Sporting (Uruguay);L;1968;5
Racing Club;Rampla Juniors Futbol Club;18/05/1968;0;1;F;Racing Club (Uruguay);Rampla Juniors Futbol Club (Uruguay);V;1968;5
River Plate;CA Penarol;18/05/1968;1;1;F;River Plate (Uruguay);CA Penarol (Uruguay);E;1968;5
Institucion Atletica Sud America;CA Penarol;25/05/1968;1;4;F;Institucion Atletica Sud America (Uruguay);CA Penarol (Uruguay);V;1968;5
Liverpool;CA Cerro;25/05/1968;2;2;F;Liverpool (Uruguay);CA Cerro (Uruguay);E;1968;5
Racing Club;Nacional;25/05/1968;0;0;F;Racing Club (Uruguay);Nacional (Uruguay);E;1968;5
Rampla Juniors Futbol Club;Defensor Sporting;25/05/1968;1;1;F;Rampla Juniors Futbol Club (Uruguay);Defensor Sporting (Uruguay);E;1968;5
River Plate;Danubio;25/05/1968;1;1;F;River Plate (Uruguay);Danubio (Uruguay);E;1968;5
Defensor Sporting;CA Penarol;01/06/1968;1;1;F;Defensor Sporting (Uruguay);CA Penarol (Uruguay);E;1968;6
Institucion Atletica Sud America;CA Cerro;01/06/1968;0;2;F;Institucion Atletica Sud America (Uruguay);CA Cerro (Uruguay);V;1968;6
Racing Club;Liverpool;01/06/1968;0;2;F;Racing Club (Uruguay);Liverpool (Uruguay);V;1968;6
Rampla Juniors Futbol Club;Danubio;01/06/1968;3;0;F;Rampla Juniors Futbol Club (Uruguay);Danubio (Uruguay);L;1968;6
River Plate;Nacional;01/06/1968;0;1;F;River Plate (Uruguay);Nacional (Uruguay);V;1968;6
Danubio;Liverpool;08/06/1968;0;0;F;Danubio (Uruguay);Liverpool (Uruguay);E;1968;6
Defensor Sporting;CA Cerro;08/06/1968;0;0;F;Defensor Sporting (Uruguay);CA Cerro (Uruguay);E;1968;6
Institucion Atletica Sud America;Nacional;08/06/1968;1;1;F;Institucion Atletica Sud America (Uruguay);Nacional (Uruguay);E;1968;6
Racing Club;CA Penarol;08/06/1968;0;1;F;Racing Club (Uruguay);CA Penarol (Uruguay);V;1968;6
Rampla Juniors Futbol Club;River Plate;08/06/1968;2;2;F;Rampla Juniors Futbol Club (Uruguay);River Plate (Uruguay);E;1968;6
CA Cerro;CA Penarol;15/06/1968;0;2;F;CA Cerro (Uruguay);CA Penarol (Uruguay);V;1968;6
Danubio;Nacional;15/06/1968;1;3;F;Danubio (Uruguay);Nacional (Uruguay);V;1968;6
Institucion Atletica Sud America;Rampla Juniors Futbol Club;15/06/1968;3;1;F;Institucion Atletica Sud America (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1968;6
Liverpool;River Plate;15/06/1968;0;1;F;Liverpool (Uruguay);River Plate (Uruguay);V;1968;6
Racing Club;Defensor Sporting;15/06/1968;0;1;F;Racing Club (Uruguay);Defensor Sporting (Uruguay);V;1968;6
CA Cerro;Rampla Juniors Futbol Club;22/06/1968;0;1;F;CA Cerro (Uruguay);Rampla Juniors Futbol Club (Uruguay);V;1968;6
CA Penarol;Nacional;22/06/1968;1;0;F;CA Penarol (Uruguay);Nacional (Uruguay);L;1968;6
Institucion Atletica Sud America;Danubio;22/06/1968;1;0;F;Institucion Atletica Sud America (Uruguay);Danubio (Uruguay);L;1968;6
Liverpool;Defensor Sporting;22/06/1968;1;0;F;Liverpool (Uruguay);Defensor Sporting (Uruguay);L;1968;6
River Plate;Racing Club;22/06/1968;0;1;F;River Plate (Uruguay);Racing Club (Uruguay);V;1968;6
Danubio;Defensor Sporting;29/06/1968;0;1;F;Danubio (Uruguay);Defensor Sporting (Uruguay);V;1968;6
Institucion Atletica Sud America;River Plate;29/06/1968;3;2;F;Institucion Atletica Sud America (Uruguay);River Plate (Uruguay);L;1968;6
Liverpool;Nacional;29/06/1968;0;4;F;Liverpool (Uruguay);Nacional (Uruguay);V;1968;6
Racing Club;CA Cerro;29/06/1968;0;3;F;Racing Club (Uruguay);CA Cerro (Uruguay);V;1968;6
Rampla Juniors Futbol Club;CA Penarol;29/06/1968;1;3;F;Rampla Juniors Futbol Club (Uruguay);CA Penarol (Uruguay);V;1968;6
CA Penarol;CA Cerro;01/03/1969;2;0;F;CA Penarol (Uruguay);CA Cerro (Uruguay);L;1969;3
Liverpool;Bella Vista;01/03/1969;2;2;F;Liverpool (Uruguay);Bella Vista (Uruguay);E;1969;3
Nacional;Danubio;01/03/1969;3;0;F;Nacional (Uruguay);Danubio (Uruguay);L;1969;3
Racing Club;Defensor Sporting;01/03/1969;2;0;F;Racing Club (Uruguay);Defensor Sporting (Uruguay);L;1969;3
Rampla Juniors Futbol Club;Institucion Atletica Sud America;01/03/1969;3;3;F;Rampla Juniors Futbol Club (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;3
CA Penarol;Bella Vista;08/03/1969;2;0;F;CA Penarol (Uruguay);Bella Vista (Uruguay);L;1969;3
Danubio;CA Cerro;08/03/1969;1;0;F;Danubio (Uruguay);CA Cerro (Uruguay);L;1969;3
Defensor Sporting;River Plate;08/03/1969;2;1;F;Defensor Sporting (Uruguay);River Plate (Uruguay);L;1969;3
Racing Club;Liverpool;08/03/1969;2;0;F;Racing Club (Uruguay);Liverpool (Uruguay);L;1969;3
Rampla Juniors Futbol Club;Nacional;08/03/1969;1;1;F;Rampla Juniors Futbol Club (Uruguay);Nacional (Uruguay);E;1969;3
Bella Vista;Rampla Juniors Futbol Club;15/03/1969;0;0;F;Bella Vista (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1969;3
CA Penarol;River Plate;15/03/1969;1;1;F;CA Penarol (Uruguay);River Plate (Uruguay);E;1969;3
Institucion Atletica Sud America;Liverpool;15/03/1969;2;0;F;Institucion Atletica Sud America (Uruguay);Liverpool (Uruguay);L;1969;3
Nacional;Defensor Sporting;15/03/1969;5;0;F;Nacional (Uruguay);Defensor Sporting (Uruguay);L;1969;3
Racing Club;Danubio;15/03/1969;4;2;F;Racing Club (Uruguay);Danubio (Uruguay);L;1969;3
CA Cerro;Rampla Juniors Futbol Club;22/03/1969;1;0;F;CA Cerro (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;3
CA Penarol;Racing Club;22/03/1969;1;1;F;CA Penarol (Uruguay);Racing Club (Uruguay);E;1969;3
Danubio;Bella Vista;22/03/1969;2;1;F;Danubio (Uruguay);Bella Vista (Uruguay);L;1969;3
Defensor Sporting;Institucion Atletica Sud America;22/03/1969;1;1;F;Defensor Sporting (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;3
River Plate;Liverpool;22/03/1969;1;0;F;River Plate (Uruguay);Liverpool (Uruguay);L;1969;3
CA Cerro;Defensor Sporting;29/03/1969;2;0;F;CA Cerro (Uruguay);Defensor Sporting (Uruguay);L;1969;3
CA Penarol;Institucion Atletica Sud America;29/03/1969;1;0;F;CA Penarol (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;3
Nacional;Liverpool;29/03/1969;3;0;F;Nacional (Uruguay);Liverpool (Uruguay);L;1969;3
Racing Club;Rampla Juniors Futbol Club;29/03/1969;1;1;F;Racing Club (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1969;3
River Plate;Danubio;29/03/1969;1;0;F;River Plate (Uruguay);Danubio (Uruguay);L;1969;3
Bella Vista;CA Cerro;05/04/1969;2;0;F;Bella Vista (Uruguay);CA Cerro (Uruguay);L;1969;4
Liverpool;CA Penarol;05/04/1969;2;0;F;Liverpool (Uruguay);CA Penarol (Uruguay);L;1969;4
Nacional;Institucion Atletica Sud America;05/04/1969;2;0;F;Nacional (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;4
Racing Club;River Plate;05/04/1969;2;2;F;Racing Club (Uruguay);River Plate (Uruguay);E;1969;4
Rampla Juniors Futbol Club;Danubio;05/04/1969;2;0;F;Rampla Juniors Futbol Club (Uruguay);Danubio (Uruguay);L;1969;4
Institucion Atletica Sud America;Racing Club;12/04/1969;2;0;F;Institucion Atletica Sud America (Uruguay);Racing Club (Uruguay);L;1969;4
Liverpool;Danubio;12/04/1969;2;1;F;Liverpool (Uruguay);Danubio (Uruguay);L;1969;4
Nacional;Bella Vista;12/04/1969;2;0;F;Nacional (Uruguay);Bella Vista (Uruguay);L;1969;4
Rampla Juniors Futbol Club;Defensor Sporting;12/04/1969;1;0;F;Rampla Juniors Futbol Club (Uruguay);Defensor Sporting (Uruguay);L;1969;4
River Plate;CA Cerro;12/04/1969;0;0;F;River Plate (Uruguay);CA Cerro (Uruguay);E;1969;4
CA Penarol;Danubio;19/04/1969;1;0;F;CA Penarol (Uruguay);Danubio (Uruguay);L;1969;4
Defensor Sporting;Liverpool;19/04/1969;0;0;F;Defensor Sporting (Uruguay);Liverpool (Uruguay);E;1969;4
Institucion Atletica Sud America;River Plate;19/04/1969;3;0;F;Institucion Atletica Sud America (Uruguay);River Plate (Uruguay);L;1969;4
Nacional;CA Cerro;19/04/1969;1;0;F;Nacional (Uruguay);CA Cerro (Uruguay);L;1969;4
Racing Club;Bella Vista;19/04/1969;1;0;F;Racing Club (Uruguay);Bella Vista (Uruguay);L;1969;4
Bella Vista;Defensor Sporting;26/04/1969;1;0;F;Bella Vista (Uruguay);Defensor Sporting (Uruguay);L;1969;4
Danubio;Institucion Atletica Sud America;26/04/1969;1;1;F;Danubio (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;4
Liverpool;CA Cerro;26/04/1969;2;0;F;Liverpool (Uruguay);CA Cerro (Uruguay);L;1969;4
Nacional;CA Penarol;26/04/1969;2;0;F;Nacional (Uruguay);CA Penarol (Uruguay);L;1969;4
Rampla Juniors Futbol Club;River Plate;26/04/1969;2;2;F;Rampla Juniors Futbol Club (Uruguay);River Plate (Uruguay);E;1969;4
Bella Vista;Institucion Atletica Sud America;03/05/1969;1;0;F;Bella Vista (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;5
CA Penarol;Defensor Sporting;03/05/1969;3;0;F;CA Penarol (Uruguay);Defensor Sporting (Uruguay);L;1969;5
Nacional;River Plate;03/05/1969;3;1;F;Nacional (Uruguay);River Plate (Uruguay);L;1969;5
Racing Club;CA Cerro;03/05/1969;1;0;F;Racing Club (Uruguay);CA Cerro (Uruguay);L;1969;5
Rampla Juniors Futbol Club;Liverpool;03/05/1969;1;1;F;Rampla Juniors Futbol Club (Uruguay);Liverpool (Uruguay);E;1969;5
Bella Vista;River Plate;10/05/1969;1;1;F;Bella Vista (Uruguay);River Plate (Uruguay);E;1969;5
CA Penarol;Rampla Juniors Futbol Club;10/05/1969;4;0;F;CA Penarol (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;5
Defensor Sporting;Danubio;10/05/1969;2;2;F;Defensor Sporting (Uruguay);Danubio (Uruguay);E;1969;5
Institucion Atletica Sud America;CA Cerro;10/05/1969;1;0;F;Institucion Atletica Sud America (Uruguay);CA Cerro (Uruguay);L;1969;5
Racing Club;Nacional;10/05/1969;0;0;F;Racing Club (Uruguay);Nacional (Uruguay);E;1969;5
Bella Vista;Liverpool;17/05/1969;3;0;F;Bella Vista (Uruguay);Liverpool (Uruguay);L;1969;5
CA Cerro;CA Penarol;17/05/1969;2;3;F;CA Cerro (Uruguay);CA Penarol (Uruguay);V;1969;5
Danubio;Nacional;17/05/1969;1;3;F;Danubio (Uruguay);Nacional (Uruguay);V;1969;5
Defensor Sporting;Racing Club;17/05/1969;1;1;F;Defensor Sporting (Uruguay);Racing Club (Uruguay);E;1969;5
Institucion Atletica Sud America;Rampla Juniors Futbol Club;17/05/1969;1;1;F;Institucion Atletica Sud America (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1969;5
Bella Vista;CA Penarol;24/05/1969;0;0;F;Bella Vista (Uruguay);CA Penarol (Uruguay);E;1969;5
CA Cerro;Danubio;24/05/1969;0;0;F;CA Cerro (Uruguay);Danubio (Uruguay);E;1969;5
Liverpool;Racing Club;24/05/1969;0;0;F;Liverpool (Uruguay);Racing Club (Uruguay);E;1969;5
Nacional;Rampla Juniors Futbol Club;24/05/1969;1;0;F;Nacional (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;5
River Plate;Defensor Sporting;24/05/1969;3;0;F;River Plate (Uruguay);Defensor Sporting (Uruguay);L;1969;5
Danubio;Racing Club;31/05/1969;2;1;F;Danubio (Uruguay);Racing Club (Uruguay);L;1969;5
Defensor Sporting;Nacional;31/05/1969;1;4;F;Defensor Sporting (Uruguay);Nacional (Uruguay);V;1969;5
Liverpool;Institucion Atletica Sud America;31/05/1969;0;2;F;Liverpool (Uruguay);Institucion Atletica Sud America (Uruguay);V;1969;5
Rampla Juniors Futbol Club;Bella Vista;31/05/1969;0;4;F;Rampla Juniors Futbol Club (Uruguay);Bella Vista (Uruguay);V;1969;5
River Plate;CA Penarol;31/05/1969;1;1;F;River Plate (Uruguay);CA Penarol (Uruguay);E;1969;5
Bella Vista;Danubio;07/06/1969;1;0;F;Bella Vista (Uruguay);Danubio (Uruguay);L;1969;6
Institucion Atletica Sud America;Defensor Sporting;07/06/1969;0;0;F;Institucion Atletica Sud America (Uruguay);Defensor Sporting (Uruguay);E;1969;6
Liverpool;River Plate;07/06/1969;0;1;F;Liverpool (Uruguay);River Plate (Uruguay);V;1969;6
Racing Club;CA Penarol;07/06/1969;1;2;F;Racing Club (Uruguay);CA Penarol (Uruguay);V;1969;6
Rampla Juniors Futbol Club;CA Cerro;07/06/1969;1;1;F;Rampla Juniors Futbol Club (Uruguay);CA Cerro (Uruguay);E;1969;6
Danubio;River Plate;14/06/1969;1;2;F;Danubio (Uruguay);River Plate (Uruguay);V;1969;6
Defensor Sporting;CA Cerro;14/06/1969;0;0;F;Defensor Sporting (Uruguay);CA Cerro (Uruguay);E;1969;6
Institucion Atletica Sud America;CA Penarol;14/06/1969;1;2;F;Institucion Atletica Sud America (Uruguay);CA Penarol (Uruguay);V;1969;6
Liverpool;Nacional;14/06/1969;1;3;F;Liverpool (Uruguay);Nacional (Uruguay);V;1969;6
Rampla Juniors Futbol Club;Racing Club;14/06/1969;1;2;F;Rampla Juniors Futbol Club (Uruguay);Racing Club (Uruguay);V;1969;6
CA Cerro;Bella Vista;21/06/1969;1;0;F;CA Cerro (Uruguay);Bella Vista (Uruguay);L;1969;6
CA Penarol;Liverpool;21/06/1969;0;0;F;CA Penarol (Uruguay);Liverpool (Uruguay);E;1969;6
Danubio;Rampla Juniors Futbol Club;21/06/1969;1;2;F;Danubio (Uruguay);Rampla Juniors Futbol Club (Uruguay);V;1969;6
Institucion Atletica Sud America;Nacional;21/06/1969;1;2;F;Institucion Atletica Sud America (Uruguay);Nacional (Uruguay);V;1969;6
River Plate;Racing Club;21/06/1969;3;3;F;River Plate (Uruguay);Racing Club (Uruguay);E;1969;6
Bella Vista;Nacional;28/06/1969;1;1;F;Bella Vista (Uruguay);Nacional (Uruguay);E;1969;6
CA Cerro;River Plate;28/06/1969;0;0;F;CA Cerro (Uruguay);River Plate (Uruguay);E;1969;6
Danubio;Liverpool;28/06/1969;1;1;F;Danubio (Uruguay);Liverpool (Uruguay);E;1969;6
Defensor Sporting;Rampla Juniors Futbol Club;28/06/1969;1;0;F;Defensor Sporting (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;6
Racing Club;Institucion Atletica Sud America;28/06/1969;2;0;F;Racing Club (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;6
Bella Vista;Racing Club;02/08/1969;4;1;F;Bella Vista (Uruguay);Racing Club (Uruguay);L;1969;8
CA Cerro;Nacional;02/08/1969;0;3;F;CA Cerro (Uruguay);Nacional (Uruguay);V;1969;8
Danubio;CA Penarol;02/08/1969;0;2;F;Danubio (Uruguay);CA Penarol (Uruguay);V;1969;8
Liverpool;Defensor Sporting;02/08/1969;0;1;F;Liverpool (Uruguay);Defensor Sporting (Uruguay);V;1969;8
River Plate;Institucion Atletica Sud America;02/08/1969;0;1;F;River Plate (Uruguay);Institucion Atletica Sud America (Uruguay);V;1969;8
CA Cerro;Liverpool;09/08/1969;2;1;F;CA Cerro (Uruguay);Liverpool (Uruguay);L;1969;8
CA Penarol;Nacional;09/08/1969;0;0;F;CA Penarol (Uruguay);Nacional (Uruguay);E;1969;8
Defensor Sporting;Bella Vista;09/08/1969;2;0;F;Defensor Sporting (Uruguay);Bella Vista (Uruguay);L;1969;8
Institucion Atletica Sud America;Danubio;09/08/1969;4;0;F;Institucion Atletica Sud America (Uruguay);Danubio (Uruguay);L;1969;8
River Plate;Rampla Juniors Futbol Club;09/08/1969;3;1;F;River Plate (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;8
CA Cerro;Racing Club;16/08/1969;1;0;F;CA Cerro (Uruguay);Racing Club (Uruguay);L;1969;8
Defensor Sporting;CA Penarol;16/08/1969;1;3;F;Defensor Sporting (Uruguay);CA Penarol (Uruguay);V;1969;8
Institucion Atletica Sud America;Bella Vista;16/08/1969;0;2;F;Institucion Atletica Sud America (Uruguay);Bella Vista (Uruguay);V;1969;8
Liverpool;Rampla Juniors Futbol Club;16/08/1969;3;0;F;Liverpool (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1969;8
River Plate;Nacional;16/08/1969;1;5;F;River Plate (Uruguay);Nacional (Uruguay);V;1969;8
CA Cerro;Institucion Atletica Sud America;23/08/1969;2;2;F;CA Cerro (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;8
Danubio;Defensor Sporting;23/08/1969;1;1;F;Danubio (Uruguay);Defensor Sporting (Uruguay);E;1969;8
Nacional;Racing Club;23/08/1969;3;0;F;Nacional (Uruguay);Racing Club (Uruguay);L;1969;8
Rampla Juniors Futbol Club;CA Penarol;23/08/1969;0;5;F;Rampla Juniors Futbol Club (Uruguay);CA Penarol (Uruguay);V;1969;8
River Plate;Bella Vista;23/08/1969;0;2;F;River Plate (Uruguay);Bella Vista (Uruguay);V;1969;8
CA Penarol;Institucion Atletica Sud America;30/08/1969;6;0;F;CA Penarol (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;8
Nacional;Bella Vista;30/08/1969;3;0;F;Nacional (Uruguay);Bella Vista (Uruguay);L;1969;8
River Plate;CA Cerro;30/08/1969;3;1;F;River Plate (Uruguay);CA Cerro (Uruguay);L;1969;8
Bella Vista;Institucion Atletica Sud America;06/09/1969;1;1;F;Bella Vista (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;9
CA Penarol;River Plate;06/09/1969;2;1;F;CA Penarol (Uruguay);River Plate (Uruguay);L;1969;9
Nacional;CA Cerro;06/09/1969;2;0;F;Nacional (Uruguay);CA Cerro (Uruguay);L;1969;9
Bella Vista;CA Cerro;13/09/1969;2;0;F;Bella Vista (Uruguay);CA Cerro (Uruguay);L;1969;9
Nacional;CA Penarol;13/09/1969;1;1;F;Nacional (Uruguay);CA Penarol (Uruguay);E;1969;9
River Plate;Institucion Atletica Sud America;13/09/1969;2;1;F;River Plate (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;9
CA Penarol;CA Cerro;20/09/1969;2;0;F;CA Penarol (Uruguay);CA Cerro (Uruguay);L;1969;9
Nacional;Institucion Atletica Sud America;20/09/1969;1;0;F;Nacional (Uruguay);Institucion Atletica Sud America (Uruguay);L;1969;9
River Plate;Bella Vista;20/09/1969;1;0;F;River Plate (Uruguay);Bella Vista (Uruguay);L;1969;9
CA Cerro;Institucion Atletica Sud America;27/09/1969;2;2;F;CA Cerro (Uruguay);Institucion Atletica Sud America (Uruguay);E;1969;9
CA Penarol;Bella Vista;27/09/1969;3;2;F;CA Penarol (Uruguay);Bella Vista (Uruguay);L;1969;9
River Plate;Nacional;27/09/1969;3;2;F;River Plate (Uruguay);Nacional (Uruguay);L;1969;9
Bella Vista;Institucion Atletica Sud America;07/03/1970;1;0;F;Bella Vista (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;3
CA Penarol;Defensor Sporting;07/03/1970;3;2;F;CA Penarol (Uruguay);Defensor Sporting (Uruguay);L;1970;3
Club Social Y Deportivo Huracan Buceo;River Plate;07/03/1970;1;0;F;Club Social Y Deportivo Huracan Buceo (Uruguay);River Plate (Uruguay);L;1970;3
Liverpool;Rampla Juniors Futbol Club;07/03/1970;4;0;F;Liverpool (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1970;3
Racing Club;Nacional;07/03/1970;1;5;F;Racing Club (Uruguay);Nacional (Uruguay);V;1970;3
CA Cerro;Rampla Juniors Futbol Club;14/03/1970;2;0;F;CA Cerro (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1970;3
CA Penarol;Institucion Atletica Sud America;14/03/1970;5;0;F;CA Penarol (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;3
Club Social Y Deportivo Huracan Buceo;Defensor Sporting;14/03/1970;1;0;F;Club Social Y Deportivo Huracan Buceo (Uruguay);Defensor Sporting (Uruguay);L;1970;3
Liverpool;Racing Club;14/03/1970;1;1;F;Liverpool (Uruguay);Racing Club (Uruguay);E;1970;3
Nacional;River Plate;14/03/1970;2;0;F;Nacional (Uruguay);River Plate (Uruguay);L;1970;3
Club Social Y Deportivo Huracan Buceo;Institucion Atletica Sud America;21/03/1970;1;1;F;Club Social Y Deportivo Huracan Buceo (Uruguay);Institucion Atletica Sud America (Uruguay);E;1970;3
Liverpool;River Plate;21/03/1970;1;0;F;Liverpool (Uruguay);River Plate (Uruguay);L;1970;3
Nacional;Defensor Sporting;21/03/1970;4;1;F;Nacional (Uruguay);Defensor Sporting (Uruguay);L;1970;3
Racing Club;CA Cerro;21/03/1970;2;0;F;Racing Club (Uruguay);CA Cerro (Uruguay);L;1970;3
Rampla Juniors Futbol Club;Bella Vista;21/03/1970;2;1;F;Rampla Juniors Futbol Club (Uruguay);Bella Vista (Uruguay);L;1970;3
Bella Vista;Racing Club;28/03/1970;3;3;F;Bella Vista (Uruguay);Racing Club (Uruguay);E;1970;3
CA Cerro;River Plate;28/03/1970;1;0;F;CA Cerro (Uruguay);River Plate (Uruguay);L;1970;3
CA Penarol;Rampla Juniors Futbol Club;28/03/1970;3;1;F;CA Penarol (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1970;3
Defensor Sporting;Liverpool;28/03/1970;0;0;F;Defensor Sporting (Uruguay);Liverpool (Uruguay);E;1970;3
Nacional;Institucion Atletica Sud America;28/03/1970;2;1;F;Nacional (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;3
Bella Vista;River Plate;04/04/1970;1;1;F;Bella Vista (Uruguay);River Plate (Uruguay);E;1970;4
CA Penarol;Racing Club;04/04/1970;3;1;F;CA Penarol (Uruguay);Racing Club (Uruguay);L;1970;4
Club Social Y Deportivo Huracan Buceo;Rampla Juniors Futbol Club;04/04/1970;1;1;F;Club Social Y Deportivo Huracan Buceo (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1970;4
Defensor Sporting;CA Cerro;04/04/1970;1;0;F;Defensor Sporting (Uruguay);CA Cerro (Uruguay);L;1970;4
Liverpool;Institucion Atletica Sud America;04/04/1970;1;0;F;Liverpool (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;4
CA Penarol;River Plate;11/04/1970;1;0;F;CA Penarol (Uruguay);River Plate (Uruguay);L;1970;4
Club Social Y Deportivo Huracan Buceo;Racing Club;11/04/1970;1;0;F;Club Social Y Deportivo Huracan Buceo (Uruguay);Racing Club (Uruguay);L;1970;4
Defensor Sporting;Bella Vista;11/04/1970;1;1;F;Defensor Sporting (Uruguay);Bella Vista (Uruguay);E;1970;4
Institucion Atletica Sud America;CA Cerro;11/04/1970;1;1;F;Institucion Atletica Sud America (Uruguay);CA Cerro (Uruguay);E;1970;4
Nacional;Rampla Juniors Futbol Club;11/04/1970;4;1;F;Nacional (Uruguay);Rampla Juniors Futbol Club (Uruguay);L;1970;4
CA Cerro;Liverpool;18/04/1970;1;0;F;CA Cerro (Uruguay);Liverpool (Uruguay);L;1970;4
CA Penarol;Bella Vista;18/04/1970;0;0;F;CA Penarol (Uruguay);Bella Vista (Uruguay);E;1970;4
Institucion Atletica Sud America;Defensor Sporting;18/04/1970;1;0;F;Institucion Atletica Sud America (Uruguay);Defensor Sporting (Uruguay);L;1970;4
Nacional;Club Social Y Deportivo Huracan Buceo;18/04/1970;1;0;F;Nacional (Uruguay);Club Social Y Deportivo Huracan Buceo (Uruguay);L;1970;4
River Plate;Racing Club;18/04/1970;1;1;F;River Plate (Uruguay);Racing Club (Uruguay);E;1970;4
Bella Vista;Club Social Y Deportivo Huracan Buceo;25/04/1970;1;1;F;Bella Vista (Uruguay);Club Social Y Deportivo Huracan Buceo (Uruguay);E;1970;4
CA Penarol;Liverpool;25/04/1970;2;0;F;CA Penarol (Uruguay);Liverpool (Uruguay);L;1970;4
Defensor Sporting;Rampla Juniors Futbol Club;25/04/1970;0;0;F;Defensor Sporting (Uruguay);Rampla Juniors Futbol Club (Uruguay);E;1970;4
Nacional;CA Cerro;25/04/1970;3;1;F;Nacional (Uruguay);CA Cerro (Uruguay);L;1970;4
River Plate;Institucion Atletica Sud America;25/04/1970;3;0;F;River Plate (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;4
CA Cerro;Club Social Y Deportivo Huracan Buceo;02/05/1970;0;0;F;CA Cerro (Uruguay);Club Social Y Deportivo Huracan Buceo (Uruguay);E;1970;5
CA Penarol;Nacional;02/05/1970;1;0;F;CA Penarol (Uruguay);Nacional (Uruguay);L;1970;5
Defensor Sporting;Racing Club;02/05/1970;2;0;F;Defensor Sporting (Uruguay);Racing Club (Uruguay);L;1970;5
Liverpool;Bella Vista;02/05/1970;1;1;F;Liverpool (Uruguay);Bella Vista (Uruguay);E;1970;5
Rampla Juniors Futbol Club;Institucion Atletica Sud America;02/05/1970;1;0;F;Rampla Juniors Futbol Club (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;5
Bella Vista;CA Cerro;09/05/1970;3;3;F;Bella Vista (Uruguay);CA Cerro (Uruguay);E;1970;5
CA Penarol;Club Social Y Deportivo Huracan Buceo;09/05/1970;1;1;F;CA Penarol (Uruguay);Club Social Y Deportivo Huracan Buceo (Uruguay);E;1970;5
Defensor Sporting;River Plate;09/05/1970;0;0;F;Defensor Sporting (Uruguay);River Plate (Uruguay);E;1970;5
Nacional;Liverpool;09/05/1970;1;0;F;Nacional (Uruguay);Liverpool (Uruguay);L;1970;5
Rampla Juniors Futbol Club;Racing Club;09/05/1970;2;2;F;Rampla Juniors Futbol Club (Uruguay);Racing Club (Uruguay);E;1970;5
CA Cerro;CA Penarol;16/05/1970;0;0;F;CA Cerro (Uruguay);CA Penarol (Uruguay);E;1970;5
Club Social Y Deportivo Huracan Buceo;Liverpool;16/05/1970;1;0;F;Club Social Y Deportivo Huracan Buceo (Uruguay);Liverpool (Uruguay);L;1970;5
Nacional;Bella Vista;16/05/1970;3;2;F;Nacional (Uruguay);Bella Vista (Uruguay);L;1970;5
Racing Club;Institucion Atletica Sud America;16/05/1970;2;1;F;Racing Club (Uruguay);Institucion Atletica Sud America (Uruguay);L;1970;5
Rampla Juniors Futbol Club;River Plate;16/05/1970;1;0;F;Rampla Juniors Futbol Club (Uruguay);River Plate (Uruguay);L;1970;5
Defensor Sporting;CA Penarol;23/05/1970;1;2;F;Defensor Sporting (Uruguay);CA Penarol (Uruguay);V;1970;5
