home,away,date,gh,ga,full_time,winner,year,month
Montevideo Wanderers,Defensor Sporting,2025-06-17,0,0,F,E,2025,6
Danubio,Racing Club,2025-06-18,1,2,F,V,2025,6
Nacional,CA Juventud,2025-06-18,4,1,F,L,2025,6
Torque FC,Miramar Misiones,2025-06-18,0,0,F,E,2025,6
CA Cerro,Cerro Largo FC,2025-06-19,2,1,F,L,2025,6
CA Progreso,Boston River,2025-06-19,2,0,F,L,2025,6
Liverpool,CA Penarol,2025-06-19,3,2,F,L,2025,6
Plaza Colonia,River Plate,2025-06-19,0,0,F,E,2025,6
CA Juventud,Danubio,2025-06-21,3,1,F,L,2025,6
Miramar Misiones,Nacional,2025-06-21,0,2,F,V,2025,6
CA Penarol,Montevideo Wanderers,2025-06-22,2,0,F,L,2025,6
Defensor Sporting,CA Cerro,2025-06-22,2,1,F,L,2025,6
Racing Club,CA Progreso,2025-06-22,3,0,F,L,2025,6
River Plate,Liverpool,2025-06-22,2,1,F,L,2025,6
Boston River,Torque FC,2025-06-23,2,1,F,L,2025,6
Cerro Largo FC,Plaza Colonia,2025-06-23,0,1,F,V,2025,6
Boston River,Miramar Misiones,2025-06-28,1,2,F,V,2025,6
CA Penarol,CA Cerro,2025-06-28,2,0,F,L,2025,6
Defensor Sporting,Plaza Colonia,2025-06-28,1,1,F,E,2025,6
Liverpool,Montevideo Wanderers,2025-06-28,1,2,F,V,2025,6
CA Juventud,CA Progreso,2025-06-29,2,0,F,L,2025,6
Nacional,Danubio,2025-06-29,3,2,F,L,2025,6
Racing Club,Torque FC,2025-06-29,1,1,F,E,2025,6
Cerro Largo FC,River Plate,2025-06-30,2,2,F,E,2025,6
