home,away,date,gh,ga,full_time,winner,year,month
Institucion Atletica Sud America,Defensor Sporting,1932-08-06,1,1,F,E,1932,8
Montevideo Wanderers,Bella Vista,1932-08-06,1,1,F,E,1932,8
Nacional,CA Penarol,1932-08-06,0,2,F,V,1932,8
Racing Club,Central Espanol,1932-08-06,1,1,F,E,1932,8
Rampla Juniors Futbol Club,River Plate,1932-08-06,3,0,F,L,1932,8
CA Penarol,River Plate,1932-08-13,3,1,F,L,1932,8
Central Espanol,Rampla Juniors Futbol Club,1932-08-13,2,0,F,L,1932,8
Defensor Sporting,Bella Vista,1932-08-13,2,3,F,V,1932,8
Montevideo Wanderers,Racing Club,1932-08-13,1,0,F,L,1932,8
Nacional,Institucion Atletica Sud America,1932-08-13,2,0,F,L,1932,8
CA Penarol,Institucion Atletica Sud America,1932-08-20,0,1,F,V,1932,8
Defensor Sporting,Racing Club,1932-08-20,1,0,F,L,1932,8
Montevideo Wanderers,Central Espanol,1932-08-20,3,0,F,L,1932,8
Nacional,River Plate,1932-08-20,2,1,F,L,1932,8
Rampla Juniors Futbol Club,Bella Vista,1932-08-20,0,1,F,V,1932,8
CA Penarol,Central Espanol,1932-08-27,3,2,F,L,1932,8
Defensor Sporting,Rampla Juniors Futbol Club,1932-08-27,2,3,F,V,1932,8
Montevideo Wanderers,Institucion Atletica Sud America,1932-08-27,2,1,F,L,1932,8
Racing Club,Nacional,1932-08-27,2,3,F,V,1932,8
River Plate,Bella Vista,1932-08-27,2,1,F,L,1932,8
Bella Vista,Racing Club,1932-09-03,2,0,F,L,1932,9
CA Penarol,Rampla Juniors Futbol Club,1932-09-03,3,3,F,E,1932,9
Central Espanol,Institucion Atletica Sud America,1932-09-03,2,0,F,L,1932,9
Defensor Sporting,River Plate,1932-09-03,1,0,F,L,1932,9
Nacional,Montevideo Wanderers,1932-09-03,1,1,F,E,1932,9
CA Penarol,Bella Vista,1932-09-10,2,0,F,L,1932,9
Defensor Sporting,Montevideo Wanderers,1932-09-10,0,0,F,E,1932,9
Nacional,Central Espanol,1932-09-10,5,2,F,L,1932,9
Rampla Juniors Futbol Club,Institucion Atletica Sud America,1932-09-10,3,3,F,E,1932,9
River Plate,Racing Club,1932-09-10,4,0,F,L,1932,9
Bella Vista,Institucion Atletica Sud America,1932-09-17,1,1,F,E,1932,9
CA Penarol,Racing Club,1932-09-17,2,0,F,L,1932,9
Montevideo Wanderers,Rampla Juniors Futbol Club,1932-09-17,1,4,F,V,1932,9
Nacional,Defensor Sporting,1932-09-17,3,1,F,L,1932,9
River Plate,Central Espanol,1932-09-17,2,1,F,L,1932,9
CA Penarol,Montevideo Wanderers,1932-09-24,0,1,F,V,1932,9
Central Espanol,Defensor Sporting,1932-09-24,2,1,F,L,1932,9
Nacional,Bella Vista,1932-09-24,1,0,F,L,1932,9
Rampla Juniors Futbol Club,Racing Club,1932-09-24,5,0,F,L,1932,9
River Plate,Institucion Atletica Sud America,1932-09-24,1,2,F,V,1932,9
CA Penarol,Defensor Sporting,1932-10-01,3,3,F,E,1932,10
Central Espanol,Bella Vista,1932-10-01,2,2,F,E,1932,10
Institucion Atletica Sud America,Racing Club,1932-10-01,0,0,F,E,1932,10
Rampla Juniors Futbol Club,Nacional,1932-10-01,0,0,F,E,1932,10
River Plate,Montevideo Wanderers,1932-10-01,1,2,F,V,1932,10
