source_line,date,home,away,gh,ga,full_time,exact_duplicate,ambiguous_fixture,extra_time_or_penalties,team_date_warning,included,reason
7684,1995-10-28,Nacional,River Plate,0,0,F,False,False,False,True,True,included
7685,1995-10-28,CA Penarol,Frontera Rivera Chico,2,0,F,False,False,False,True,True,included
7695,1996-03-02,CA Penarol,Institucion Atletica Sud America,4,1,F,False,False,False,True,True,included
7696,1996-03-02,Central Espanol,Nacional,0,2,F,False,False,False,True,True,included
7697,1996-03-02,CA Cerro,Liverpool,0,0,F,False,False,False,True,True,included
7698,1996-03-02,Montevideo Wanderers,Danubio,0,2,F,False,False,False,True,True,included
7699,1996-03-02,Defensor Sporting,River Plate,0,0,F,False,False,False,True,True,included
7700,1996-03-02,Club Social Y Deportivo Huracan Buceo,Rampla Juniors Futbol Club,0,0,F,False,False,False,True,True,included
7701,1996-03-02,Danubio,Club Social Y Deportivo Huracan Buceo,3,1,F,False,False,False,True,True,included
7702,1996-03-02,Rampla Juniors Futbol Club,CA Penarol,1,2,F,False,False,False,True,True,included
7703,1996-03-02,Liverpool,Defensor Sporting,1,0,F,False,False,False,True,True,included
7704,1996-03-02,River Plate,Nacional,0,1,F,False,False,False,True,True,included
7705,1996-03-09,Nacional,CA Cerro,2,2,F,False,False,False,True,True,included
7706,1996-03-09,Liverpool,Central Espanol,1,1,F,False,False,False,True,True,included
7707,1996-03-09,Danubio,Rampla Juniors Futbol Club,0,0,F,False,False,False,True,True,included
7708,1996-03-09,River Plate,CA Penarol,0,0,F,False,False,False,True,True,included
7709,1996-03-09,Defensor Sporting,Institucion Atletica Sud America,1,1,F,False,False,False,True,True,included
7710,1996-03-09,Club Social Y Deportivo Huracan Buceo,Montevideo Wanderers,2,1,F,False,False,False,True,True,included
7711,1996-03-09,Defensor Sporting,River Plate,2,1,F,False,False,False,True,True,included
7712,1996-03-09,Danubio,CA Penarol,1,1,F,False,False,False,True,True,included
7713,1996-03-09,Club Social Y Deportivo Huracan Buceo,Nacional,1,1,F,False,False,False,True,True,included
7714,1996-03-09,Liverpool,Rampla Juniors Futbol Club,2,1,F,False,False,False,True,True,included
7715,1996-03-16,Danubio,Nacional,0,4,F,False,True,False,True,False,ambiguous_fixture
7716,1996-03-16,Rampla Juniors Futbol Club,Montevideo Wanderers,2,0,F,False,False,False,True,True,included
7718,1996-03-16,Liverpool,River Plate,1,0,F,False,False,False,True,True,included
7719,1996-03-16,Club Social Y Deportivo Huracan Buceo,Central Espanol,1,0,F,False,False,False,True,True,included
7720,1996-03-16,CA Penarol,Defensor Sporting,2,0,F,False,False,False,True,True,included
