model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2021,13744,364,0.47911816065192087,0.4147538759966743,0.42032967032967034,0.3660047506160809,0.11678832116788321,0.07920792079207921,101,36,"[[8, 49, 44], [15, 75, 48], [13, 42, 70]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.4852299185098952,0.36454735486695805,0.45054945054945056,0.34875191034131436,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 46, 79]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2022,14108,297,0.4783810603912674,0.4065985002363366,0.48148148148148145,0.4185474810309535,0.1553398058252427,0.10126582278481013,79,24,"[[8, 38, 33], [12, 70, 24], [4, 43, 65]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.48483130138928265,0.3646747061264988,0.4882154882154882,0.37498991366093765,0.0,0.0,79,0,"[[0, 43, 36], [0, 78, 28], [0, 45, 67]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2023,14405,300,0.4785838250607428,0.4066377052930907,0.37666666666666665,0.3233185814841942,0.0847457627118644,0.053763440860215055,93,25,"[[5, 45, 43], [9, 66, 44], [11, 35, 42]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.4848316556751128,0.3649441356668864,0.4,0.3118418292427103,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 41, 47]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2021,13744,364,0.47911816065192087,0.4147538759966743,0.42032967032967034,0.3660047506160809,0.11678832116788321,0.07920792079207921,101,36,"[[8, 49, 44], [15, 75, 48], [13, 42, 70]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.4852299185098952,0.36454735486695805,0.45054945054945056,0.34875191034131436,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 46, 79]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2022,14108,297,0.4783810603912674,0.4065985002363366,0.48148148148148145,0.4185474810309535,0.1553398058252427,0.10126582278481013,79,24,"[[8, 38, 33], [12, 70, 24], [4, 43, 65]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.48483130138928265,0.3646747061264988,0.4882154882154882,0.37498991366093765,0.0,0.0,79,0,"[[0, 43, 36], [0, 78, 28], [0, 45, 67]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2023,14405,300,0.4785838250607428,0.4066377052930907,0.37666666666666665,0.3233185814841942,0.0847457627118644,0.053763440860215055,93,25,"[[5, 45, 43], [9, 66, 44], [11, 35, 42]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.4848316556751128,0.3649441356668864,0.4,0.3118418292427103,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 41, 47]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.4746071012805588,0.41708737980944216,0.41483516483516486,0.3735858670297038,0.1610738255033557,0.1188118811881188,101,48,"[[12, 47, 42], [17, 73, 48], [19, 40, 66]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.4828288707799767,0.3630413292412154,0.43956043956043955,0.34002434330865006,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 50, 75]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.47349021831584914,0.4133778397501631,0.4781144781144781,0.4312247009177319,0.21238938053097345,0.1518987341772152,79,34,"[[12, 38, 29], [14, 69, 23], [8, 43, 61]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.4820669123901333,0.36286480943511895,0.4781144781144781,0.3670975489157307,0.0,0.0,79,0,"[[0, 43, 36], [0, 77, 29], [0, 47, 65]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.47247483512669214,0.4125050744732211,0.39,0.3525843384282586,0.16923076923076924,0.11827956989247312,93,37,"[[11, 42, 40], [12, 66, 41], [14, 34, 40]]"
NB propio,"{""m"": 0.1}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.4817077403679278,0.36291100316904373,0.4066666666666667,0.31715963918607093,0.0,0.0,93,0,"[[0, 47, 46], [0, 74, 45], [0, 40, 48]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2021,13744,364,0.4746071012805588,0.41708737980944216,0.41483516483516486,0.3735858670297038,0.1610738255033557,0.1188118811881188,101,48,"[[12, 47, 42], [17, 73, 48], [19, 40, 66]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2021,13744,364,0.4828288707799767,0.3630413292412154,0.43956043956043955,0.34002434330865006,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 50, 75]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2022,14108,297,0.47349021831584914,0.4133778397501631,0.4781144781144781,0.4312247009177319,0.21238938053097345,0.1518987341772152,79,34,"[[12, 38, 29], [14, 69, 23], [8, 43, 61]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2022,14108,297,0.4820669123901333,0.36286480943511895,0.4781144781144781,0.3670975489157307,0.0,0.0,79,0,"[[0, 43, 36], [0, 77, 29], [0, 47, 65]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,three_class,2023,14405,300,0.47247483512669214,0.4125050744732211,0.39,0.3525843384282586,0.16923076923076924,0.11827956989247312,93,37,"[[11, 42, 40], [12, 66, 41], [14, 34, 40]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points_and_goals,3,10,never_draw,2023,14405,300,0.4817077403679278,0.36291100316904373,0.4066666666666667,0.31715963918607093,0.0,0.0,93,0,"[[0, 47, 46], [0, 74, 45], [0, 40, 48]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,three_class,2021,13744,364,0.4739522700814901,0.4073929987732629,0.4258241758241758,0.3781880472021317,0.13513513513513514,0.09900990099009901,101,47,"[[10, 45, 46], [20, 69, 49], [17, 32, 76]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,never_draw,2021,13744,364,0.4802823050058207,0.36073433199348975,0.45054945054945056,0.348559486490521,0.0,0.0,101,0,"[[0, 53, 48], [0, 78, 60], [0, 39, 86]]"
NB propio,"{""m"": 0.1}",plus_draw_rates,4,8,three_class,2022,14108,297,0.4741990360079388,0.40615330653787235,0.46464646464646464,0.42349340866290014,0.22033898305084745,0.16455696202531644,79,39,"[[13, 34, 32], [15, 60, 31], [11, 36, 65]]"
