model,parameters,variant,variant_rank,n_features,decision,validacion,n_train,n_validacion,train_accuracy,train_macro_f1,accuracy,macro_f1,draw_f1,draw_recall,true_draws,predicted_draws,confusion_matrix
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2021,13744,364,0.5683934807916181,0.5249468538261289,0.42032967032967034,0.39927321308075614,0.2594594594594595,0.2376237623762376,101,84,"[[24, 51, 26], [32, 80, 26], [28, 48, 49]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2021,13744,364,0.5369615832363213,0.3977040695947555,0.4423076923076923,0.3389359856751161,0.0,0.0,101,0,"[[0, 68, 33], [0, 99, 39], [0, 63, 62]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2022,14108,297,0.5676212078253473,0.5292112860057955,0.3939393939393939,0.3687369765620087,0.2446043165467626,0.21518987341772153,79,60,"[[17, 40, 22], [19, 64, 23], [24, 52, 36]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2022,14108,297,0.5361497022965693,0.39792163882942294,0.3872053872053872,0.29010602923646406,0.0,0.0,79,0,"[[0, 53, 26], [0, 76, 30], [0, 73, 39]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,three_class,2023,14405,300,0.5664699757028809,0.5293848441793177,0.4,0.3800486312214804,0.32098765432098764,0.27956989247311825,93,69,"[[26, 48, 19], [25, 67, 27], [18, 43, 27]]"
ID3,"{""min_info_gain"": 0.005}",plus_points,1,8,never_draw,2023,14405,300,0.5351614022908713,0.3987378600524016,0.3933333333333333,0.29523809523809524,0.0,0.0,93,0,"[[0, 66, 27], [0, 85, 34], [0, 55, 33]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2021,13744,364,0.47657159487776485,0.40489295167833245,0.4258241758241758,0.3695223884453402,0.12030075187969924,0.07920792079207921,101,32,"[[8, 49, 44], [13, 75, 50], [11, 42, 72]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2021,13744,364,0.48268335273573926,0.36214215903333774,0.4423076923076923,0.3423632610939113,0.0,0.0,101,0,"[[0, 55, 46], [0, 83, 55], [0, 47, 78]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2022,14108,297,0.47618372554578964,0.40183730456139805,0.48484848484848486,0.419491730927785,0.16666666666666666,0.10126582278481013,79,17,"[[8, 37, 34], [7, 72, 27], [2, 46, 64]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2022,14108,297,0.48171250354408846,0.3620284045329684,0.4713804713804714,0.3618575002017268,0.0,0.0,79,0,"[[0, 42, 37], [0, 76, 30], [0, 48, 64]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,three_class,2023,14405,300,0.47684831655675114,0.3992259978224106,0.38,0.32481169363860096,0.08695652173913043,0.053763440860215055,93,22,"[[5, 43, 45], [7, 67, 45], [10, 36, 42]]"
NB propio,"{""m"": 0.1}",plus_points,1,8,never_draw,2023,14405,300,0.48163832002776813,0.3623384011917074,0.3933333333333333,0.30527511357900056,0.0,0.0,93,0,"[[0, 46, 47], [0, 74, 45], [0, 44, 44]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,three_class,2021,13744,364,0.47657159487776485,0.40489295167833245,0.4258241758241758,0.3695223884453402,0.12030075187969924,0.07920792079207921,101,32,"[[8, 49, 44], [13, 75, 50], [11, 42, 72]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,never_draw,2021,13744,364,0.48268335273573926,0.36214215903333774,0.4423076923076923,0.3423632610939113,0.0,0.0,101,0,"[[0, 55, 46], [0, 83, 55], [0, 47, 78]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,three_class,2022,14108,297,0.47618372554578964,0.40183730456139805,0.48484848484848486,0.419491730927785,0.16666666666666666,0.10126582278481013,79,17,"[[8, 37, 34], [7, 72, 27], [2, 46, 64]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,never_draw,2022,14108,297,0.48171250354408846,0.3620284045329684,0.4713804713804714,0.3618575002017268,0.0,0.0,79,0,"[[0, 42, 37], [0, 76, 30], [0, 48, 64]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,three_class,2023,14405,300,0.47684831655675114,0.3992259978224106,0.38,0.32481169363860096,0.08695652173913043,0.053763440860215055,93,22,"[[5, 43, 45], [7, 67, 45], [10, 36, 42]]"
CategoricalNB,"{""alpha"": 0.025}",plus_points,1,8,never_draw,2023,14405,300,0.48163832002776813,0.3623384011917074,0.3933333333333333,0.30527511357900056,0.0,0.0,93,0,"[[0, 46, 47], [0, 74, 45], [0, 44, 44]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,three_class,2021,13744,364,0.6007712456344587,0.593496272826536,0.43956043956043955,0.4254102143469341,0.297029702970297,0.297029702970297,101,101,"[[30, 24, 47], [40, 52, 46], [31, 16, 78]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,never_draw,2021,13744,364,0.5409633294528522,0.41368869455706064,0.4478021978021978,0.34570999526875523,0.0,0.0,101,0,"[[0, 39, 62], [0, 71, 67], [0, 33, 92]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,three_class,2022,14108,297,0.6006521122767224,0.5932570284389348,0.43434343434343436,0.40878159212963894,0.25,0.22784810126582278,79,65,"[[18, 21, 40], [28, 44, 34], [19, 26, 67]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,never_draw,2022,14108,297,0.5416784802948682,0.4143477534169186,0.468013468013468,0.35860618254984455,0.0,0.0,79,0,"[[0, 32, 47], [0, 60, 46], [0, 33, 79]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,three_class,2023,14405,300,0.602290871225269,0.5946075372453956,0.4,0.398041073932325,0.34554973821989526,0.3548387096774194,93,98,"[[33, 21, 39], [40, 39, 40], [25, 15, 48]]"
Random Forest,"{""max_depth"": null, ""min_samples_leaf"": 20}",plus_points,1,8,never_draw,2023,14405,300,0.5396737244012496,0.4127195315764786,0.37666666666666665,0.297666198866885,0.0,0.0,93,0,"[[0, 36, 57], [0, 56, 63], [0, 31, 57]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,three_class,2021,13744,364,0.6024447031431898,0.5734649033396629,0.4258241758241758,0.40776461941510483,0.27692307692307694,0.26732673267326734,101,94,"[[27, 49, 25], [32, 80, 26], [35, 42, 48]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.5552240977881258,0.41566683876672217,0.4368131868131868,0.33116329535766875,0.0,0.0,101,0,"[[0, 64, 37], [0, 103, 35], [0, 69, 56]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,three_class,2022,14108,297,0.6000850581230508,0.570336072261619,0.3838383838383838,0.35945953413068765,0.2119205298013245,0.20253164556962025,79,72,"[[16, 43, 20], [22, 63, 21], [34, 43, 35]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.5533739722143465,0.41509345488883653,0.4006734006734007,0.30285851499206545,0.0,0.0,79,0,"[[0, 56, 23], [0, 76, 30], [0, 69, 43]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,three_class,2023,14405,300,0.598958694897605,0.5687924546101036,0.39,0.37215495216997413,0.3176470588235294,0.2903225806451613,93,77,"[[27, 42, 24], [32, 64, 23], [18, 44, 26]]"
ID3,"{""min_info_gain"": 0.005}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.5524470669906283,0.41434363691480086,0.4166666666666667,0.3126897389192471,0.0,0.0,93,0,"[[0, 62, 31], [0, 90, 29], [0, 53, 35]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2021,13744,364,0.47911816065192087,0.4147538759966743,0.42032967032967034,0.3660047506160809,0.11678832116788321,0.07920792079207921,101,36,"[[8, 49, 44], [15, 75, 48], [13, 42, 70]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.4852299185098952,0.36454735486695805,0.45054945054945056,0.34875191034131436,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 46, 79]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2022,14108,297,0.4783810603912674,0.4065985002363366,0.48148148148148145,0.4185474810309535,0.1553398058252427,0.10126582278481013,79,24,"[[8, 38, 33], [12, 70, 24], [4, 43, 65]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2022,14108,297,0.48483130138928265,0.3646747061264988,0.4882154882154882,0.37498991366093765,0.0,0.0,79,0,"[[0, 43, 36], [0, 78, 28], [0, 45, 67]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,three_class,2023,14405,300,0.4785838250607428,0.4066377052930907,0.37666666666666665,0.3233185814841942,0.0847457627118644,0.053763440860215055,93,25,"[[5, 45, 43], [9, 66, 44], [11, 35, 42]]"
NB propio,"{""m"": 0.1}",plus_goal_difference,2,8,never_draw,2023,14405,300,0.4848316556751128,0.3649441356668864,0.4,0.3118418292427103,0.0,0.0,93,0,"[[0, 47, 46], [0, 73, 46], [0, 41, 47]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2021,13744,364,0.47911816065192087,0.4147538759966743,0.42032967032967034,0.3660047506160809,0.11678832116788321,0.07920792079207921,101,36,"[[8, 49, 44], [15, 75, 48], [13, 42, 70]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,never_draw,2021,13744,364,0.4852299185098952,0.36454735486695805,0.45054945054945056,0.34875191034131436,0.0,0.0,101,0,"[[0, 56, 45], [0, 85, 53], [0, 46, 79]]"
CategoricalNB,"{""alpha"": 0.025}",plus_goal_difference,2,8,three_class,2022,14108,297,0.4783810603912674,0.4065985002363366,0.48148148148148145,0.4185474810309535,0.1553398058252427,0.10126582278481013,79,24,"[[8, 38, 33], [12, 70, 24], [4, 43, 65]]"
