model,n_test,correct,accuracy,macro_f1
ID3,472,212,0.4491525423728814,0.42382567609770266
NB propio,472,226,0.4788135593220339,0.4453694184572153
CategoricalNB,472,226,0.4788135593220339,0.4453694184572153
Random Forest,472,201,0.4258474576271186,0.42189414299146005
Base 10 años,472,218,0.461864406779661,0.3564461073116216
