model,class,precision,recall,f1,support
NB propio,E,0.35365853658536583,0.22137404580152673,0.27230046948356806,131
NB propio,L,0.5475113122171946,0.6368421052631579,0.5888077858880778,190
NB propio,V,0.44970414201183434,0.5033112582781457,0.475,151
CategoricalNB,E,0.35365853658536583,0.22137404580152673,0.27230046948356806,131
CategoricalNB,L,0.5475113122171946,0.6368421052631579,0.5888077858880778,190
CategoricalNB,V,0.44970414201183434,0.5033112582781457,0.475,151
Base 10 años,E,0.0,0.0,0.0,131
Base 10 años,L,0.5020746887966805,0.6368421052631579,0.5614849187935035,190
Base 10 años,V,0.4199134199134199,0.6423841059602649,0.5078534031413613,151
