model,n_train,n_test,accuracy,macro_f1
NB propio,14705,472,0.4788135593220339,0.4453694184572153
CategoricalNB,14705,472,0.4788135593220339,0.4453694184572153
Base 10 años,14705,472,0.461864406779661,0.3564461073116216
